CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,6,2019,10,10,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.6,V,1.1,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.6,V,0.8,V,0.7,V,0.6,V,0.4,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,043,6,2019,10,11,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.9,V,0.6,V,0.4,V,0.2,V,0.2,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,043,6,2019,10,12,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,043,6,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,6,2019,10,10,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.5,V,0.7,V,0.5,V,0.4,V,0.4,V,0.5,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.7,V,0.7,V,0.5,V,0.3,V,0.2,V
08,Barcelona,019,Barcelona,044,6,2019,10,11,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.7,V,0.5,V,0.7,V,0.4,V,0.4,V,0.5,V,0.5,V,0.6,V,0.4,V,0.3,V,0.4,V,0.5,V,0.6,V,0.5,V,0.6,V,0.6,V
08,Barcelona,019,Barcelona,044,6,2019,10,12,0.7,V,0.6,V,0.4,V,0.3,V,0.3,V,0.3,V,0.5,V,0.4,V,0.5,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V
08,Barcelona,019,Barcelona,044,6,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,6,2019,10,10,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,057,6,2019,10,11,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,057,6,2019,10,12,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,057,6,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,6,2019,10,10,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,054,6,2019,10,11,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.5,V,0.3,V
08,Barcelona,019,Barcelona,054,6,2019,10,12,0.4,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V
08,Barcelona,019,Barcelona,054,6,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,050,7,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,2,V,6,V,4,V,7,V,6,V,19,V,16,V,6,V,10,V,10,V,12,V,6,V,8,V,3,V,2,V,1,V,4,V,1,V
08,Barcelona,019,Barcelona,050,7,2019,10,11,5,V,2,V,1,V,1,V,1,V,1,V,2,V,16,V,34,V,29,V,16,V,30,V,45,V,72,V,81,V,16,V,9,V,3,V,3,V,2,V,3,V,2,V,2,V,1,V
08,Barcelona,019,Barcelona,050,7,2019,10,12,1,V,6,V,5,V,8,V,31,V,42,V,37,V,33,V,43,V,28,V,13,V,5,V,3,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V
08,Barcelona,019,Barcelona,050,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,7,2019,10,10,6,V,4,V,4,V,3,V,3,V,2,V,3,V,9,V,46,V,92,V,53,V,53,V,44,V,45,V,20,V,25,V,32,V,33,V,35,V,31,V,22,V,17,V,3,V,2,V
08,Barcelona,019,Barcelona,043,7,2019,10,11,3,V,10,V,5,V,4,V,1,V,3,V,13,V,38,V,94,V,51,V,50,V,27,V,25,V,33,V,35,V,31,V,25,V,30,V,23,V,24,V,22,V,18,V,11,V,4,V
08,Barcelona,019,Barcelona,043,7,2019,10,12,6,V,11,V,8,V,21,V,34,V,43,V,50,V,43,V,55,V,25,V,26,V,37,V,47,V,34,V,35,V,19,V,29,V,29,V,46,V,25,V,17,V,12,V,9,V,8,V
08,Barcelona,019,Barcelona,043,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,7,2019,10,10,6,V,8,V,2,V,1,V,2,V,2,V,2,V,4,V,22,V,55,V,39,V,29,V,30,V,27,V,11,V,13,V,11,V,13,V,10,V,20,V,15,V,4,V,2,V,1,V
08,Barcelona,019,Barcelona,044,7,2019,10,11,4,V,5,V,4,V,6,V,3,V,7,V,5,V,11,V,56,V,24,V,39,V,20,V,20,V,18,V,18,V,16,V,13,V,7,V,7,V,7,V,7,V,6,V,10,V,10,V
08,Barcelona,019,Barcelona,044,7,2019,10,12,13,V,10,V,3,V,3,V,5,V,11,V,29,V,23,V,17,V,11,V,8,V,14,V,28,V,29,V,20,V,11,V,9,V,8,V,5,V,6,V,4,V,3,V,5,V,2,V
08,Barcelona,019,Barcelona,044,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,7,2019,10,10,1,V,1,V,1,V,2,V,1,V,4,V,2,V,7,V,9,V,5,V,14,V,10,V,8,V,6,V,4,V,4,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,4,V
08,Barcelona,019,Barcelona,057,7,2019,10,11,2,V,1,V,2,V,1,V,1,V,1,V,2,V,10,V,35,V,7,V,10,V,6,V,4,V,9,V,6,V,6,V,4,V,3,V,3,V,2,V,5,V,12,V,5,V,19,V
08,Barcelona,019,Barcelona,057,7,2019,10,12,6,V,4,V,3,V,2,V,4,V,1,V,2,V,11,V,11,V,28,V,8,V,9,V,3,V,3,V,2,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,057,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,004,7,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,1,V,9,V,21,V,26,V,27,V,21,V,25,V,11,V,9,V,8,V,9,V,7,V,6,V,4,V,3,V,2,V,1,V,1,V
08,Barcelona,019,Barcelona,004,7,2019,10,11,1,V,1,V,1,V,1,V,1,V,2,V,8,V,37,V,47,V,50,V,34,V,21,V,31,V,32,V,23,V,15,V,10,V,10,V,7,V,4,V,2,V,3,V,1,V,1,V
08,Barcelona,019,Barcelona,004,7,2019,10,12,12,V,48,V,36,V,27,V,27,V,23,V,18,V,30,V,39,V,30,V,24,V,7,V,4,V,2,V,3,V,1,V,1,V,2,V,3,V,1,V,2,V,1,V,2,V,1,V
08,Barcelona,019,Barcelona,004,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,042,7,2019,10,10,1,V,2,V,2,V,3,V,2,V,2,V,2,V,3,V,5,V,6,V,10,V,11,V,8,V,4,V,3,V,3,V,3,V,3,V,2,V,3,V,3,V,3,V,2,V,3,V
08,Barcelona,019,Barcelona,042,7,2019,10,11,2,V,3,V,3,V,2,V,1,V,2,V,3,V,6,V,7,V,16,V,26,V,8,V,6,V,6,V,6,V,4,V,3,V,3,V,3,V,3,V,5,V,4,V,4,V,4,V
08,Barcelona,019,Barcelona,042,7,2019,10,12,9,V,15,V,7,V,5,V,5,V,12,V,14,V,23,V,36,V,27,V,16,V,8,V,4,V,4,V,2,V,2,V,2,V,2,V,2,V,3,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,042,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,7,2019,10,10,2,V,2,V,2,V,1,V,1,V,1,V,2,V,5,V,7,V,20,V,14,V,14,V,11,V,6,V,4,V,3,V,2,V,2,V,2,V,1,V,1,V,1,V,2,V,1,V
08,Barcelona,019,Barcelona,054,7,2019,10,11,2,V,1,V,1,V,1,V,1,V,2,V,6,V,15,V,18,V,11,V,9,V,9,V,3,V,4,V,6,V,6,V,4,V,2,V,2,V,1,V,3,V,17,V,16,V,11,V
08,Barcelona,019,Barcelona,054,7,2019,10,12,14,V,11,V,5,V,3,V,1,V,3,V,4,V,18,V,12,V,22,V,11,V,4,V,3,V,3,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,054,7,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,050,8,2019,10,10,9,V,13,V,16,V,20,V,17,V,15,V,14,V,19,V,36,V,40,V,34,V,45,V,50,V,32,V,35,V,32,V,44,V,40,V,46,V,43,V,40,V,41,V,29,V,18,V
08,Barcelona,019,Barcelona,050,8,2019,10,11,49,V,41,V,28,V,19,V,16,V,17,V,28,V,47,V,60,V,57,V,56,V,66,V,75,V,79,V,84,V,55,V,45,V,37,V,40,V,34,V,54,V,48,V,41,V,35,V
08,Barcelona,019,Barcelona,050,8,2019,10,12,29,V,43,V,39,V,32,V,30,V,25,V,24,V,25,V,27,V,36,V,51,V,40,V,16,V,11,V,11,V,5,V,4,V,7,V,5,V,9,V,11,V,9,V,9,V,10,V
08,Barcelona,019,Barcelona,050,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,8,2019,10,10,27,V,19,V,26,V,25,V,23,V,20,V,23,V,39,V,62,V,75,V,67,V,66,V,60,V,66,V,41,V,39,V,49,V,53,V,63,V,59,V,53,V,46,V,30,V,21,V
08,Barcelona,019,Barcelona,043,8,2019,10,11,24,V,45,V,40,V,46,V,23,V,20,V,39,V,62,V,86,V,66,V,75,V,60,V,52,V,58,V,68,V,62,V,54,V,56,V,52,V,58,V,61,V,60,V,53,V,44,V
08,Barcelona,019,Barcelona,043,8,2019,10,12,50,V,54,V,54,V,56,V,57,V,58,V,58,V,62,V,64,V,54,V,55,V,66,V,68,V,61,V,62,V,46,V,58,V,65,V,73,V,57,V,40,V,39,V,33,V,34,V
08,Barcelona,019,Barcelona,043,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,8,2019,10,10,22,V,27,V,21,V,20,V,21,V,18,V,16,V,36,V,59,V,75,V,71,V,60,V,64,V,60,V,39,V,33,V,36,V,44,V,47,V,62,V,57,V,39,V,29,V,16,V
08,Barcelona,019,Barcelona,044,8,2019,10,11,28,V,34,V,22,V,29,V,23,V,26,V,27,V,48,V,76,V,55,V,79,V,61,V,54,V,54,V,61,V,57,V,47,V,38,V,43,V,45,V,53,V,58,V,73,V,67,V
08,Barcelona,019,Barcelona,044,8,2019,10,12,63,V,60,V,49,V,41,V,43,V,47,V,55,V,55,V,55,V,47,V,37,V,48,V,65,V,69,V,58,V,43,V,45,V,42,V,24,V,31,V,22,V,21,V,22,V,18,V
08,Barcelona,019,Barcelona,044,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,8,2019,10,10,16,V,14,V,11,V,15,V,14,V,12,V,12,V,34,V,44,V,33,V,52,V,43,V,38,V,31,V,21,V,19,V,18,V,20,V,28,V,31,V,37,V,37,V,28,V,26,V
08,Barcelona,019,Barcelona,057,8,2019,10,11,20,V,13,V,12,V,14,V,14,V,10,V,21,V,41,V,63,V,42,V,53,V,29,V,23,V,42,V,40,V,36,V,30,V,30,V,33,V,34,V,59,V,72,V,49,V,53,V
08,Barcelona,019,Barcelona,057,8,2019,10,12,39,V,31,V,33,V,21,V,17,V,11,V,13,V,29,V,45,V,59,V,42,V,40,V,19,V,19,V,14,V,9,V,12,V,16,V,30,V,37,V,16,V,15,V,12,V,14,V
08,Barcelona,019,Barcelona,057,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,004,8,2019,10,10,14,V,27,V,23,V,22,V,21,V,18,V,19,V,39,V,50,V,52,V,55,V,53,V,54,V,39,V,32,V,32,V,35,V,40,V,43,V,42,V,35,V,36,V,37,V,34,V
08,Barcelona,019,Barcelona,004,8,2019,10,11,37,V,33,V,26,V,30,V,27,V,38,V,47,V,55,V,58,V,58,V,60,V,50,V,63,V,67,V,68,V,54,V,44,V,39,V,42,V,35,V,37,V,44,V,36,V,39,V
08,Barcelona,019,Barcelona,004,8,2019,10,12,54,V,58,V,51,V,46,V,43,V,44,V,44,V,40,V,40,V,43,V,46,V,27,V,17,V,14,V,14,V,8,V,9,V,13,V,15,V,19,V,22,V,20,V,13,V,12,V
08,Barcelona,019,Barcelona,004,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,042,8,2019,10,10,15,V,17,V,16,V,18,V,17,V,17,V,15,V,26,V,33,V,33,V,43,V,46,V,39,V,28,V,19,V,15,V,16,V,20,V,22,V,26,V,25,V,21,V,24,V,20,V
08,Barcelona,019,Barcelona,042,8,2019,10,11,18,V,23,V,30,V,25,V,22,V,20,V,26,V,34,V,42,V,57,V,64,V,45,V,34,V,34,V,38,V,29,V,24,V,25,V,24,V,27,V,37,V,40,V,41,V,36,V
08,Barcelona,019,Barcelona,042,8,2019,10,12,50,V,51,V,47,V,41,V,40,V,41,V,42,V,45,V,51,V,52,V,49,V,35,V,20,V,22,V,13,V,11,V,12,V,15,V,30,V,36,V,18,V,15,V,11,V,16,V
08,Barcelona,019,Barcelona,042,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,8,2019,10,10,20,V,19,V,18,V,18,V,19,V,15,V,18,V,29,V,37,V,54,V,46,V,49,V,36,V,32,V,19,V,13,V,15,V,18,V,23,V,27,V,33,V,23,V,22,V,17,V
08,Barcelona,019,Barcelona,054,8,2019,10,11,22,V,21,V,15,V,15,V,14,V,19,V,42,V,54,V,48,V,40,V,40,V,33,V,15,V,23,V,34,V,34,V,29,V,23,V,27,V,37,V,43,V,59,V,66,V,47,V
08,Barcelona,019,Barcelona,054,8,2019,10,12,51,V,49,V,31,V,20,V,20,V,33,V,39,V,45,V,46,V,48,V,38,V,24,V,15,V,15,V,15,V,13,V,9,V,9,V,9,V,10,V,13,V,15,V,14,V,17,V
08,Barcelona,019,Barcelona,054,8,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,050,12,2019,10,10,11,V,14,V,17,V,21,V,18,V,16,V,17,V,28,V,42,V,50,V,44,V,74,V,75,V,40,V,50,V,47,V,61,V,49,V,57,V,47,V,43,V,44,V,34,V,19,V
08,Barcelona,019,Barcelona,050,12,2019,10,11,57,V,44,V,29,V,21,V,17,V,19,V,31,V,72,V,113,V,101,V,80,V,111,V,144,V,189,V,208,V,79,V,59,V,42,V,46,V,36,V,57,V,51,V,43,V,37,V
08,Barcelona,019,Barcelona,050,12,2019,10,12,31,V,52,V,47,V,44,V,79,V,90,V,81,V,76,V,92,V,79,V,72,V,47,V,20,V,15,V,14,V,7,V,6,V,9,V,5,V,10,V,11,V,11,V,12,V,12,V
08,Barcelona,019,Barcelona,050,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
