CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,12,2019,10,10,36,V,25,V,31,V,30,V,28,V,23,V,27,V,52,V,132,V,216,V,147,V,147,V,126,V,135,V,72,V,77,V,98,V,103,V,117,V,106,V,87,V,73,V,35,V,25,V
08,Barcelona,019,Barcelona,043,12,2019,10,11,28,V,59,V,47,V,52,V,25,V,25,V,59,V,120,V,230,V,144,V,152,V,101,V,90,V,109,V,121,V,109,V,93,V,101,V,87,V,95,V,93,V,88,V,69,V,50,V
08,Barcelona,019,Barcelona,043,12,2019,10,12,59,V,71,V,65,V,88,V,110,V,123,V,134,V,127,V,148,V,92,V,95,V,122,V,141,V,113,V,115,V,74,V,102,V,111,V,143,V,95,V,66,V,57,V,47,V,46,V
08,Barcelona,019,Barcelona,043,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,12,2019,10,10,32,V,39,V,23,V,21,V,23,V,19,V,18,V,42,V,93,V,159,V,130,V,103,V,110,V,102,V,55,V,53,V,52,V,64,V,62,V,93,V,79,V,46,V,32,V,17,V
08,Barcelona,019,Barcelona,044,12,2019,10,11,33,V,40,V,27,V,37,V,28,V,35,V,35,V,65,V,161,V,92,V,138,V,91,V,84,V,81,V,88,V,81,V,67,V,48,V,53,V,56,V,63,V,67,V,88,V,81,V
08,Barcelona,019,Barcelona,044,12,2019,10,12,82,V,75,V,55,V,45,V,50,V,65,V,99,V,90,V,80,V,64,V,49,V,69,V,108,V,114,V,89,V,59,V,58,V,55,V,32,V,39,V,28,V,26,V,29,V,20,V
08,Barcelona,019,Barcelona,044,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,12,2019,10,10,17,V,16,V,13,V,17,V,16,V,18,V,15,V,45,V,57,V,40,V,74,V,58,V,50,V,39,V,27,V,24,V,22,V,24,V,33,V,34,V,41,V,41,V,32,V,33,V
08,Barcelona,019,Barcelona,057,12,2019,10,11,23,V,15,V,16,V,15,V,15,V,12,V,25,V,57,V,117,V,53,V,68,V,38,V,29,V,55,V,49,V,44,V,36,V,34,V,37,V,37,V,65,V,90,V,57,V,82,V
08,Barcelona,019,Barcelona,057,12,2019,10,12,48,V,37,V,37,V,25,V,24,V,13,V,16,V,45,V,61,V,101,V,55,V,53,V,23,V,24,V,16,V,10,V,14,V,18,V,33,V,38,V,17,V,16,V,14,V,16,V
08,Barcelona,019,Barcelona,057,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,004,12,2019,10,10,15,V,28,V,24,V,23,V,21,V,19,V,20,V,53,V,82,V,93,V,96,V,85,V,92,V,56,V,46,V,44,V,48,V,51,V,53,V,48,V,39,V,38,V,39,V,35,V
08,Barcelona,019,Barcelona,004,12,2019,10,11,39,V,35,V,27,V,31,V,28,V,41,V,59,V,111,V,130,V,134,V,112,V,81,V,110,V,117,V,103,V,76,V,60,V,53,V,53,V,41,V,40,V,48,V,38,V,41,V
08,Barcelona,019,Barcelona,004,12,2019,10,12,72,V,130,V,106,V,87,V,84,V,79,V,70,V,86,V,100,V,88,V,84,V,37,V,24,V,16,V,18,V,9,V,11,V,14,V,18,V,20,V,24,V,21,V,15,V,12,V
08,Barcelona,019,Barcelona,004,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,042,12,2019,10,10,17,V,19,V,19,V,22,V,21,V,20,V,17,V,31,V,40,V,42,V,59,V,63,V,50,V,34,V,23,V,20,V,21,V,25,V,26,V,31,V,29,V,25,V,27,V,23,V
08,Barcelona,019,Barcelona,042,12,2019,10,11,21,V,27,V,33,V,28,V,23,V,22,V,31,V,43,V,52,V,81,V,103,V,57,V,43,V,44,V,47,V,36,V,29,V,29,V,28,V,30,V,44,V,46,V,47,V,42,V
08,Barcelona,019,Barcelona,042,12,2019,10,12,64,V,74,V,58,V,49,V,48,V,60,V,64,V,80,V,106,V,92,V,73,V,47,V,26,V,27,V,17,V,14,V,15,V,17,V,33,V,41,V,19,V,16,V,12,V,17,V
08,Barcelona,019,Barcelona,042,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,12,2019,10,10,22,V,22,V,20,V,19,V,20,V,16,V,21,V,35,V,48,V,84,V,68,V,70,V,51,V,41,V,24,V,18,V,19,V,21,V,26,V,29,V,35,V,24,V,25,V,18,V
08,Barcelona,019,Barcelona,054,12,2019,10,11,24,V,23,V,16,V,16,V,16,V,21,V,50,V,78,V,75,V,56,V,54,V,46,V,19,V,29,V,43,V,43,V,34,V,26,V,29,V,39,V,47,V,84,V,91,V,64,V
08,Barcelona,019,Barcelona,054,12,2019,10,12,73,V,65,V,38,V,24,V,22,V,38,V,44,V,73,V,64,V,81,V,54,V,31,V,19,V,19,V,18,V,16,V,11,V,10,V,9,V,10,V,14,V,16,V,15,V,19,V
08,Barcelona,019,Barcelona,054,12,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,050,14,2019,10,10,43,V,33,V,22,V,26,V,36,V,38,V,43,V,42,V,18,V,13,V,24,V,15,V,13,V,35,V,38,V,41,V,31,V,32,V,27,V,29,V,30,V,29,V,40,V,39,V
08,Barcelona,019,Barcelona,050,14,2019,10,11,12,V,11,V,19,V,33,V,37,V,27,V,15,V,3,V,3,V,7,V,15,V,12,V,11,V,8,V,8,V,31,V,40,V,45,V,42,V,46,V,23,V,25,V,29,V,20,V
08,Barcelona,019,Barcelona,050,14,2019,10,12,18,V,4,V,3,V,4,V,1,V,1,V,1,V,1,V,1,V,3,V,19,V,55,V,60,V,71,V,70,V,82,V,79,V,72,V,71,V,59,V,57,V,62,V,65,V,62,V
08,Barcelona,019,Barcelona,050,14,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,14,2019,10,10,32,V,34,V,23,V,22,V,26,V,28,V,30,V,14,V,7,V,2,V,7,V,16,V,20,V,17,V,32,V,34,V,30,V,26,V,20,V,21,V,22,V,25,V,34,V,42,V
08,Barcelona,019,Barcelona,043,14,2019,10,11,39,V,19,V,21,V,27,V,36,V,43,V,28,V,15,V,3,V,14,V,8,V,16,V,23,V,23,V,21,V,27,V,35,V,34,V,35,V,28,V,20,V,15,V,18,V,20,V
08,Barcelona,019,Barcelona,043,14,2019,10,12,12,V,8,V,5,V,3,V,1,V,1,V,1,V,1,V,2,V,10,V,16,V,14,V,17,V,31,V,30,V,46,V,33,V,26,V,19,V,29,V,45,V,47,V,51,V,45,V
08,Barcelona,019,Barcelona,043,14,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,14,2019,10,10,36,V,29,V,30,V,30,V,30,V,32,V,38,V,25,V,10,V,3,V,10,V,17,V,12,V,22,V,37,V,42,V,41,V,34,V,30,V,22,V,25,V,34,V,40,V,50,V
08,Barcelona,019,Barcelona,044,14,2019,10,11,39,V,29,V,34,V,28,V,36,V,36,V,39,V,22,V,4,V,21,V,10,V,21,V,28,V,30,V,28,V,33,V,40,V,44,V,40,V,37,V,29,V,21,V,7,V,4,V
08,Barcelona,019,Barcelona,044,14,2019,10,12,4,V,6,V,16,V,19,V,16,V,10,V,1,V,1,V,4,V,18,V,32,V,34,V,32,V,30,V,35,V,50,V,47,V,48,V,58,V,50,V,57,V,59,V,59,V,58,V
08,Barcelona,019,Barcelona,044,14,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,14,2019,10,10,44,V,37,V,32,V,33,V,38,V,40,V,43,V,24,V,21,V,28,V,11,V,18,V,27,V,41,V,53,V,57,V,57,V,55,V,45,V,41,V,35,V,34,V,39,V,33,V
08,Barcelona,019,Barcelona,057,14,2019,10,11,41,V,43,V,47,V,45,V,43,V,50,V,39,V,20,V,8,V,29,V,22,V,42,V,47,V,39,V,41,V,46,V,54,V,52,V,48,V,45,V,18,V,3,V,9,V,2,V
08,Barcelona,019,Barcelona,057,14,2019,10,12,7,V,9,V,7,V,17,V,23,V,31,V,21,V,11,V,2,V,5,V,30,V,37,V,66,V,72,V,80,V,88,V,82,V,75,V,57,V,46,V,67,V,68,V,71,V,65,V
08,Barcelona,019,Barcelona,057,14,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,14,2019,10,10,32,V,25,V,24,V,30,V,29,V,36,V,33,V,22,V,20,V,7,V,11,V,11,V,24,V,37,V,55,V,60,V,58,V,54,V,49,V,46,V,40,V,46,V,43,V,44,V
08,Barcelona,019,Barcelona,054,14,2019,10,11,36,V,34,V,39,V,39,V,41,V,34,V,12,V,4,V,14,V,23,V,25,V,31,V,56,V,53,V,47,V,48,V,54,V,51,V,53,V,42,V,32,V,16,V,4,V,8,V
08,Barcelona,019,Barcelona,054,14,2019,10,12,7,V,9,V,28,V,35,V,34,V,14,V,10,V,3,V,8,V,7,V,29,V,52,V,68,V,73,V,73,V,77,V,78,V,77,V,74,V,69,V,66,V,65,V,68,V,59,V
08,Barcelona,019,Barcelona,054,14,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,10,2019,10,10,13,V,12,V,10,V,10,V,11,V,12,V,12,V,16,V,22,V,35,V,36,V,28,V,26,V,30,V,28,V,26,V,26,V,35,V,36,V,33,V,30,V,32,V,31,V,28,V
08,Barcelona,019,Barcelona,043,10,2019,10,11,26,V,26,V,28,V,27,V,30,V,28,V,25,V,31,V,45,V,56,V,46,V,46,V,57,V,49,V,45,V,39,V,35,V,39,V,35,V,33,V,32,V,33,V,29,V,24,V
08,Barcelona,019,Barcelona,043,10,2019,10,12,22,V,23,V,22,V,20,V,21,V,20,V,23,V,26,V,31,V,29,V,28,V,27,V,29,V,29,V,28,V,23,V,26,V,28,V,25,V,30,V,25,V,23,V,21,V,20,V
08,Barcelona,019,Barcelona,043,10,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,10,2019,10,10,10,V,10,V,9,V,9,V,12,V,12,V,12,V,13,V,21,V,30,V,29,V,24,V,32,V,26,V,19,V,21,V,20,V,27,V,24,V,25,V,25,V,26,V,28,V,28,V
08,Barcelona,019,Barcelona,044,10,2019,10,11,27,V,28,V,25,V,26,V,35,V,34,V,27,V,28,V,38,V,46,V,45,V,48,V,38,V,36,V,40,V,36,V,35,V,31,V,30,V,26,V,26,V,29,V,28,V,20,V
08,Barcelona,019,Barcelona,044,10,2019,10,12,21,V,25,V,25,V,17,V,11,V,12,V,24,V,25,V,23,V,26,V,25,V,22,V,23,V,25,V,26,V,20,V,21,V,22,V,19,V,19,V,21,V,18,V,20,V,18,V
08,Barcelona,019,Barcelona,044,10,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,10,2019,10,10,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,10,2019,10,11,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,10,2019,10,12,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,10,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,004,10,2019,10,10,9,V,12,V,10,V,10,V,11,V,13,V,13,V,28,V,25,V,27,V,30,V,21,V,23,V,23,V,23,V,24,V,30,V,41,V,55,V,34,V,32,V,32,V,30,V,31,V
08,Barcelona,019,Barcelona,004,10,2019,10,11,26,V,27,V,25,V,26,V,25,V,27,V,28,V,33,V,48,V,65,V,57,V,59,V,55,V,55,V,50,V,47,V,47,V,45,V,69,V,43,V,39,V,34,V,29,V,30,V
08,Barcelona,019,Barcelona,004,10,2019,10,12,26,V,32,V,27,V,23,V,25,V,30,V,29,V,29,V,31,V,33,V,37,V,31,V,24,V,23,V,25,V,23,V,22,V,21,V,20,V,24,V,23,V,20,V,17,V,16,V
08,Barcelona,019,Barcelona,004,10,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,10,2019,10,10,14,V,8,V,10,V,10,V,13,V,12,V,10,V,13,V,11,V,21,V,22,V,18,V,15,V,18,V,18,V,15,V,14,V,18,V,17,V,18,V,22,V,22,V,26,V,25,V
08,Barcelona,019,Barcelona,054,10,2019,10,11,24,V,22,V,24,V,25,V,32,V,34,V,33,V,29,V,37,V,36,V,33,V,36,V,28,V,25,V,28,V,26,V,29,V,27,V,22,V,22,V,19,V,21,V,27,V,19,V
08,Barcelona,019,Barcelona,054,10,2019,10,12,18,V,20,V,20,V,13,V,9,V,10,V,13,V,16,V,15,V,19,V,22,V,19,V,17,V,19,V,19,V,17,V,15,V,16,V,17,V,16,V,14,V,14,V,17,V,14,V
08,Barcelona,019,Barcelona,054,10,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,1,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2019,10,11,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2019,10,12,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,1,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,044,1,2019,10,11,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,044,1,2019,10,12,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,044,1,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,1,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,057,1,2019,10,11,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,057,1,2019,10,12,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,057,1,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,1,2019,10,10,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,054,1,2019,10,11,1,V,2,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,2,V,2,V,2,V,2,V,1,V,2,V,2,V,3,V,2,V,2,V
08,Barcelona,019,Barcelona,054,1,2019,10,12,2,V,2,V,2,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,1,V,1,V,1,V,2,V,2,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,054,1,2019,10,13,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
